,Soma_region,Cortical_layer,Transgenic_line,Brain_id,Subclass_or_type,Celltype,final_celltype
18867_4457_x7592_y10554,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-m,ET_SS
18867_4473_x25161_y6054,SSp-ll,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-ll,ET_SS
18867_4513_x27588_y6824,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-ul,ET_SS
18867_4533_x14227_y15937,CP,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CP_SNr,CP_SNr,CP_SNr
18867_4554_x26130_y14869,CP,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CP_SNr,CP_SNr,CP_SNr
18867_4593_x26568_y15120,CP,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CP_SNr,CP_SNr,CP_SNr
18867_4605_x30309_y8068,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-n,ET_SS
18867_4621_x24147_y14734,RT,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,RT,RT
18867_4647_x12409_y6656,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-ul,ET_SS
18867_4677_x24410_y14710,RT,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,RT,RT
18867_4689_x11723_y7039,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-ul,ET_SS
18867_4724_x12558_y16835,CP,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CP_SNr,CP_SNr,CP_SNr
18867_4768_x26326_y6150,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-ul,ET_SS
18867_4776_x28359_y6621,SSp-un,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-un,ET_SS
18867_4789_x23709_y15765,RT,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,RT,RT
18867_4801_x7068_y12938,SSs,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSs,ET_SS
18867_4817_x16327_y15739,RT,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,RT,RT
18867_4824_x31628_y8902,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-n,ET_SS
18867_4826_x11914_y16564,CP,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CP_SNr,CP_SNr,CP_SNr
18867_4831_x27808_y6496,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-ul,ET_SS
18867_4874_x16831_y16618,RT,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,RT,RT
18867_4889_x28329_y6770,SSp-un,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-un,ET_SS
18867_4922_x30354_y7405,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-bfd,ET_SS
18867_4926_x25796_y14504,RT,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,RT,RT
18867_4954_x9860_y7599,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-bfd,ET_SS
18867_4957_x30093_y7560,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-n,ET_SS
18867_4984_x30860_y8156,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-n,ET_SS
18867_5082_x26232_y14941,RT,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,RT,RT
18867_5083_x14145_y15212,RT,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,RT,RT
18867_5169_x12576_y5864,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-ul,ET_SS
18867_5194_x29530_y6807,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_5203_x10027_y7237,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-bfd,ET_SS
18867_5287_x32054_y8614,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-n,ET_SS
18867_5319_x14289_y4114,MOp,2月3日,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_5408_x30554_y7318,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-bfd,ET_SS
18867_5486_x20836_y5690,RSPv,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_RSP,ET_RSP
18867_5640_x21236_y5683,RSPv,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_RSP,ET_RSP
18867_5654_x12080_y5724,SSp-un,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-un,ET_SS
18867_5665_x20882_y6561,RSPv,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_RSP,ET_RSP
18867_5867_x21009_y6208,RSPv,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_RSP,ET_RSP
18867_5894_x10157_y6463,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-bfd,ET_SS
18867_5942_x29015_y5711,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-bfd,ET_SS
18867_6003_x18592_y6204,RSPv,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_RSP,ET_RSP
18867_6007_x18415_y4843,RSPv,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_RSP,ET_RSP
18867_6014_x17935_y4434,RSPd,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_RSP,ET_RSP
18867_6085_x20833_y6331,RSPv,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_RSP,ET_RSP
18867_6091_x30186_y6043,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-bfd,ET_SS
18867_6408_x9343_y6158,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_SSp-bfd,ET_SS
18867_6413_x20950_y6015,RSPv,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,CTX_ET,ET_RSP,ET_RSP
18867_6452_x16339_y18318,BS,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_6468_x21532_y7741,SUB,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_6985_x12525_y4095,VISp,2月3日,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_6986_x31479_y5932,VISl,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_7123_x11808_y5131,VISp,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_7172_x22280_y4802,RSPv,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_7390_x9887_y4961,VISp,2月3日,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_7541_x13210_y4462,VISp,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_7583_x22567_y18119,PRNr,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_7584_x10560_y5816,VISp,5,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_7790_x21511_y18480,TRN,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_7924_x22262_y16755,PRNr,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18867_8235_x25208_y14610,PB,,Pvalb-T2A-CreERT2;Ai166_394528-18867,18867,,,
18868_2225_x15897_y10006,ORBvl,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,,
18868_2559_x15436_y13207,ORBvl,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_ORB,ET_ORB
18868_2584_x14386_y13639,ORBl,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_ORB,ET_ORB
18868_2593_x15801_y13755,ORBvl,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_ORB,ET_ORB
18868_2601_x23273_y17306,PIR,,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,,
18868_2621_x11765_y8944,MOs,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_MOs,ET_MO
18868_2924_x10668_y9719,MOp,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,,
18868_3009_x28076_y11485,MOp,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_MOp,ET_MO
18868_3112_x27714_y10534,MOp,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_MOp,ET_MO
18868_3207_x27726_y9448,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3228_x28576_y10788,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3389_x28317_y9872,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3419_x27168_y8481,MOp,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_MOp,ET_MO
18868_3453_x28753_y10380,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3488_x24952_y7321,MOp,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_MOp,ET_MO
18868_3507_x7704_y10476,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3547_x28065_y9077,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3552_x28542_y9340,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3564_x27379_y8431,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_3592_x9776_y8113,MOp,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_MOp,ET_MO
18868_3626_x29809_y12585,SSs,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSs,ET_SS
18868_3627_x28035_y8749,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3658_x9598_y8113,MOp,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_MOp,ET_MO
18868_3699_x17279_y16010,LSv,,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,,
18868_3715_x8453_y8977,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3781_x6715_y11703,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3783_x28846_y9268,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3799_x26336_y7466,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_3799_x6462_y13405,GU,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_GU,ET_GU
18868_3853_x29683_y10294,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3856_x26025_y7205,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_3871_x26350_y7564,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_3875_x8707_y8341,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_3922_x26631_y7518,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_3931_x26823_y7496,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_3932_x25373_y7132,SSp-ll,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ll,ET_SS
18868_3977_x25824_y7160,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_3981_x30626_y12403,SSs,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSs,ET_SS
18868_4041_x10632_y7193,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_4047_x27203_y7787,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_4132_x11881_y6094,MOp,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_MOp,ET_MO
18868_4192_x10967_y7007,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_4221_x5685_y12199,SSs,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSs,ET_SS
18868_4317_x23980_y6346,SSp-ll,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ll,ET_SS
18868_4341_x30419_y10114,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-n,ET_SS
18868_4430_x9829_y7185,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_4434_x10947_y6887,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-ul,ET_SS
18868_4464_x5477_y11004,SSs,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSs,ET_SS
18868_4517_x31548_y11591,SSs,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSs,ET_SS
18868_4523_x15124_y15767,RT,,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,RT,RT
18868_4549_x5910_y9879,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-m,ET_SS
18868_4634_x13823_y16687,RT,,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,RT,RT
18868_4648_x14941_y16268,RT,,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,RT,RT
18868_4693_x13797_y16937,RT,,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,RT,RT
18868_4706_x15828_y16760,RT,,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,RT,RT
18868_4739_x28536_y7468,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-bfd,ET_SS
18868_4757_x15158_y16995,RT,,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,RT,RT
18868_4803_x7002_y8311,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-n,ET_SS
18868_4818_x14513_y17030,RT,,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,RT,RT
18868_4863_x31402_y10126,SSs,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSs,ET_SS
18868_4883_x27078_y6285,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-bfd,ET_SS
18868_5131_x7596_y7239,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-bfd,ET_SS
18868_5141_x8535_y6876,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-bfd,ET_SS
18868_5156_x9540_y6495,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-bfd,ET_SS
18868_5242_x9858_y5968,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-bfd,ET_SS
18868_5369_x19532_y5532,RSPv,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_RSP,ET_RSP
18868_5397_x19819_y6085,RSPv,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_RSP,ET_RSP
18868_5456_x7773_y6771,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-bfd,ET_SS
18868_5531_x7356_y7030,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-bfd,ET_SS
18868_5686_x9887_y5415,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-bfd,ET_SS
18868_5701_x9538_y5736,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-bfd,ET_SS
18868_5723_x7031_y7203,SSs,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSs,ET_SS
18868_5724_x8616_y5999,SSp-bfd,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_SSp-bfd,ET_SS
18868_5965_x17541_y6435,RSPv,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_RSP,ET_RSP
18868_5983_x17523_y5085,RSPv,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_RSP,ET_RSP
18868_6000_x19811_y5444,RSPv,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_RSP,ET_RSP
18868_6019_x9541_y5296,VISrl,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_VIS,ET_VIS
18868_6196_x17668_y4955,RSPv,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_RSP,ET_RSP
18868_6405_x11428_y4397,VISpm,5,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,CTX_ET,ET_VIS,ET_VIS
18868_6757_x10353_y4324,VISp,4,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,,
18868_7311_x22238_y17329,TRN,,Pvalb-T2A-CreERT2;Ai166_396476-18868,18868,,,
18869_00020,PSV,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,,
18869_00024,CP,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,,
18869_00028,RT,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,RT,RT
18869_3064_x20999_y7621,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3239_x6605_y6691,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3263_x6927_y6229,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3305_x6812_y6104,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3321_x21485_y7678,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3395_x6415_y6741,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3398_x6248_y7047,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3480_x6168_y6983,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3482_x7077_y5660,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3504_x6554_y5961,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3506_x6250_y6810,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3547_x21769_y7449,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3590_x6132_y6798,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3634_x20027_y5437,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3634_x5750_y7170,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3659_x21701_y7032,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3701_x5589_y7633,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3701_x7703_y4993,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,,
18869_3741_x6284_y6163,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3751_x5868_y6832,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3761_x5335_y8118,SSs,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSs,ET_SS
18869_3857_x22137_y7268,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_3937_x5000_y8198,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_4001_x4383_y7249,SSs,2月3日,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,,
18869_4026_x21667_y6102,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_4036_x8032_y4635,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-ul,ET_SS
18869_4050_x21764_y6239,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_4054_x19963_y5080,SSp-un,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-un,ET_SS
18869_4089_x6848_y5110,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,,
18869_4091_x4807_y8065,SSs,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSs,ET_SS
18869_4181_x21056_y5611,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_4184_x11041_y4195,MOp,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,,
18869_4196_x21043_y5510,SSp-m,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-m,ET_SS
18869_4253_x4991_y7023,SSs,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSs,ET_SS
18869_4268_x10899_y9077,RT,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,RT,RT
18869_4275_x8819_y9368,CP,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CP_SNr,CP_SNr,CP_SNr
18869_4282_x22276_y6457,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-n,ET_SS
18869_4301_x16815_y4413,MOp,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,,
18869_4301_x20547_y5218,SSp-un,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-un,ET_SS
18869_4302_x23433_y9053,SSs,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSs,ET_SS
18869_4345_x7097_y4738,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-n,ET_SS
18869_4347_x8166_y4281,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-ul,ET_SS
18869_4371_x21382_y5522,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-n,ET_SS
18869_4384_x15799_y10704,RT,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,RT,RT
18869_4410_x8772_y3996,SSp-ul,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-ul,ET_SS
18869_4414_x15653_y4273,MOs,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,,
18869_4419_x16667_y10498,RT,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,RT,RT
18869_4426_x7611_y4421,SSp-un,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-un,ET_SS
18869_4453_x9586_y8809,RT,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,RT,RT
18869_4457_x17404_y9449,RT,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,RT,RT
18869_4468_x23035_y7089,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-n,ET_SS
18869_4469_x21852_y5924,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-n,ET_SS
18869_4511_x11720_y4070,MOp,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,,
18869_4520_x23555_y8194,SSs,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,,
18869_4550_x17965_y4177,SSp-ll,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,,
18869_4550_x7203_y4574,SSp-n,5,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,CTX_ET,ET_SSp-n,ET_SS
18869_4571_x10055_y8359,RT,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,,RT,RT
